Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
C1,1206,1,10µC,
C2,1206,1,100nC,
D1,38mm rigid LED filament,1,LED,
Q1,SOT-23,1,BSS84,
R1,1206,1,220R,
R2,1206,1,10KR,
R3,1206,1,3R,
"R4, R6",1206,2,100R,
R5,1206,1,100KR,
SW1,RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
"SW2, SW3, SW4",SW_Cherry_MX_1.00u_PCB,3,SW_Push,
U1,TFT-320x240,1,TFT_320x240,
U2,ESP32-S3-DevKitC,1,ESP32-S3-DevKitC,
U3,SOT23,1,IRLML2502TRPBF,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
